National Rank,World Rank,University Name,Town,Rating,
1,1,Massachusetts Institute of Technology,"	Cambridge",5,
2,2,Harvard University,"	Cambridge",5,
3,3,Stanford University,Stanford,5,
4,4,Cornell University,Ithaca,5,
5,5,"University of California, Berkeley",Berkeley,5,
6,6,Columbia University in the City of New York,New York City,5,
7,7,University of Michigan,Ann Arbor,5,
8,8,University of Washington,Seattle,5,
9,9,University of Pennsylvania,Philadelphia,5,
10,10,University of Minnesota-Twin Cities,Minneapolis,5,
11,11,Yale University,New Haven,4.9,
12,12,"University of California, Los Angeles",Los Angeles,4.9,
13,13,Johns Hopkins University,Baltimore,4.9,
14,14,The University of Texas at Austin,Austin,4.9,
15,16,"	New York University",New York City,4.9,
16,17,University of Wisconsin-Madison,Madison,4.8,
17,18,"	Purdue University",West Lafayette,4.7,
18,19,Penn State University,University Park,4.8,
19,20,Princeton University,Princeton,4.7,
20,21,Carnegie Mellon University,Pittsburgh,4.9,
21,22,University of Southern California,Los Angeles,4.5,
22,23,University of Chicago,Chicago,4.2,
23,27,Arizona State University,Tempe,4.6,
24,28,University of Florida,Gainesville,4.7,
25,29,Michigan State University,East Lansing,4.8,
26,30,"University of California, San Diego",San Diego,4.9,
27,31,University of Illinois at Urbana-Champaign,Champaign,4.1,
28,32,University of North Carolina at Chapel Hill,Chapel Hill,4,
29,33,Duke University,Durham,4.7,
30,34,Northwestern University,Evanston,4.3,
31,35,"University of California, Davis",Davis,4.4,
32,36,Boston University,Boston,4.2,
33,37,University of Maryland ,College Park,3.9,
34,38,"Rutgers, The State University of New Jersey",New Brunswick,3.6,
35,39,"University of California, Irvine",Irvine,3.9,
36,40,The University of Arizona,Tucson,3.5,
37,41,Texas A&M University,College Station,3.8,
38,42,The University of Utah,Salt Lake City,3.5,
39,43,University of Virginia,Charlottesville,3.7,
40,45,The Ohio State University,Columbus,3.5,
41,46,University of Colorado Boulder,Boulder,3.3,
42,48,North Carolina State University,Raleigh,3.5,
43,50,Georgia Institute of Technology,Atlanta,3.2,
44,54,University of Pittsburgh,Pittsburgh ,3.9,
45,58,Indiana University Bloomington,Bloomington,3.6,
46,59,California Institute of Technology,Pasadena,3.3,
47,60,Washington University in St. Louis,St. Louis,4,
48,61,"University of California, Santa Barbara",Santa Barbara,4.8,
49,64,Georgetown University,Washington,3.5,
50,65,Tufts University,Medford,4.2,
51,66,University of Nebraska-Lincoln,Lincoln,4,
52,67,Virginia Polytechnic Institute and State University,Blacksburg,3.3,
53,68,Florida State University,Tallahassee,3.9,
54,70,University of South Florida,Tampa,3.6,
55,71,Oregon State University,Corvallis,4.8,
56,72,University of Massachusetts Amherst,Amherst,4,
57,73,University of Georgia,Athens,4.1,
58,75,Brown University,Providence,3.5,
59,76,Iowa State University,Ames,3.3,
60,78,Brigham Young University,Provo,4.2,
61,80,University of Rochester,Rochester,4,
62,81,University of Iowa,Iowa City,3.6,
63,82,"University of California, Riverside",Riverside,3.6,
64,83,Washington State University,Pullman,4.8,
65,84,University of Delaware,Newark,4.1,
66,86,Georgia State University,Atlanta,3.3,
67,87,William Marsh Rice University,Houston,3.5,
68,88,"University at Buffalo, State University of New York",Buffalo  ,4.1,
69,89,Dartmouth College,Hanover,4.8,
70,93,George Washington University,Washington  ,4,
71,94,Vanderbilt University,Nashville,3.6,
72,96,Syracuse University,Syracuse,3.9,
73,97,Colorado State University,Fort Collins,4.1,
74,98,University of Houston,Houston,4.2,
75,102,George Mason University,Fairfax,3.3,
76,103,University of Oregon,Eugene  ,3.5,
77,106,"University of California, Santa Cruz",Santa Cruz  ,3.6,
78,108,University of Illinois at Chicago,Chicago  ,4.8,
79,109,"University of California, San Francisco",San Francisco  ,4,
80,110,University of Notre Dame,Notre Dame,4.1,
81,112,University of Connecticut,Storrs  ,3.9,
82,114,Emory University,Atlanta,3.7,
83,115,Temple University,Philadelphia  ,3.6,
84,116,Northeastern University,Boston  ,3.3,
85,117,University of Missouri,Columbia,3.5,
86,120,University of Central Florida,Orlando  ,4.2,
87,122,University of Kansas,Lawrence ,3.5,
88,125,University of Kentucky,Lexington,3.6,
89,126,Florida International University,Miami,3.6,
90,132,University of New Mexico,Albuquerque,4,
91,136,Drexel University,Philadelphia,2.9,
92,144,The University of Tennessee, Knoxville,Knoxville,3.3
93,152,Rochester Institute of Technology,Rochester,3.9,
94,155,University of Miami,Coral Gables ,3.5,
95,157,Louisiana State University,Baton Rouge,4.2,
96,161,The University of Alabama,Tuscaloosa,4,
97,162,San Diego State University,San Diego ,3.6,
98,167,American University,Washington,3.3,
99,169,Boston College,Chestnut Hill,3.5,
100,171,Fordham University,The Bronx,3.9,
